component_id,split,parent_groups,parent_group_count,image_count,Decks_non_cracked,Decks_cracked,Pavements_non_cracked,Pavements_cracked,Walls_non_cracked,Walls_cracked
sdnet_component_0047,val,Decks:7049,1,252,179,73,0,0,0,0
sdnet_component_0048,train,Decks:7050,1,252,235,17,0,0,0,0
sdnet_component_0049,train,Decks:7051,1,252,222,30,0,0,0,0
sdnet_component_0050,train,Decks:7052,1,252,228,24,0,0,0,0
sdnet_component_0051,train,Decks:7053,1,260,243,17,0,0,0,0
sdnet_component_0052,train,Decks:7054,1,252,231,21,0,0,0,0
sdnet_component_0053,train,Decks:7057,1,252,236,16,0,0,0,0
sdnet_component_0054,test,Pavements:001,1,234,0,0,211,23,0,0
sdnet_component_0055,train,Pavements:002,1,234,0,0,214,20,0,0
sdnet_component_0056,test,Pavements:003,1,234,0,0,216,18,0,0
sdnet_component_0057,val,Pavements:004,1,234,0,0,212,22,0,0
sdnet_component_0058,train,Pavements:005,1,234,0,0,195,39,0,0
sdnet_component_0059,train,Pavements:006,1,234,0,0,187,47,0,0
sdnet_component_0060,train,Pavements:007,1,234,0,0,209,25,0,0
sdnet_component_0061,val,Pavements:008,1,234,0,0,207,27,0,0
sdnet_component_0062,val,Pavements:009,1,234,0,0,209,25,0,0
sdnet_component_0063,train,Pavements:010,1,234,0,0,212,22,0,0
sdnet_component_0064,train,Pavements:011,1,234,0,0,212,22,0,0
sdnet_component_0065,train,Pavements:012,1,234,0,0,216,18,0,0
sdnet_component_0066,train,Pavements:013,1,234,0,0,218,16,0,0
sdnet_component_0067,train,Pavements:014,1,234,0,0,207,27,0,0
sdnet_component_0068,train,Pavements:015,1,234,0,0,234,0,0,0
sdnet_component_0069,test,Pavements:016,1,234,0,0,234,0,0,0
sdnet_component_0070,val,Pavements:017,1,234,0,0,215,19,0,0
sdnet_component_0071,train,Pavements:018,1,234,0,0,198,36,0,0
sdnet_component_0072,train,Pavements:019,1,234,0,0,182,52,0,0
sdnet_component_0073,train,Pavements:020,1,234,0,0,196,38,0,0
sdnet_component_0074,train,Pavements:021,1,234,0,0,211,23,0,0
sdnet_component_0075,train,Pavements:022,1,234,0,0,211,23,0,0
sdnet_component_0076,test,Pavements:023,1,234,0,0,198,36,0,0
sdnet_component_0077,train,Pavements:024,1,234,0,0,234,0,0,0
sdnet_component_0078,train,Pavements:025,1,234,0,0,234,0,0,0
sdnet_component_0079,val,Pavements:026,1,234,0,0,219,15,0,0
sdnet_component_0080,val,Pavements:027,1,232,0,0,210,22,0,0
sdnet_component_0081,train,Pavements:028,1,234,0,0,200,34,0,0
sdnet_component_0082,test,Pavements:029,1,234,0,0,173,61,0,0
sdnet_component_0083,train,Pavements:030,1,234,0,0,206,28,0,0
sdnet_component_0084,train,Pavements:031,1,234,0,0,214,20,0,0
sdnet_component_0085,train,Pavements:032,1,234,0,0,218,16,0,0
sdnet_component_0086,train,Pavements:033,1,234,0,0,212,22,0,0
sdnet_component_0087,test,Pavements:034,1,234,0,0,214,20,0,0
sdnet_component_0088,train,Pavements:035,1,234,0,0,214,20,0,0
sdnet_component_0089,train,Pavements:036,1,234,0,0,214,20,0,0
sdnet_component_0090,train,Pavements:037,1,234,0,0,214,20,0,0
sdnet_component_0091,train,Pavements:038,1,234,0,0,214,20,0,0
sdnet_component_0092,train,Pavements:039,1,234,0,0,224,10,0,0
sdnet_component_0093,train,Pavements:040,1,234,0,0,217,17,0,0
sdnet_component_0094,train,Pavements:041,1,234,0,0,210,24,0,0
sdnet_component_0095,test,Pavements:042,1,234,0,0,213,21,0,0
sdnet_component_0096,val,Pavements:043,1,234,0,0,197,37,0,0
sdnet_component_0097,val,Pavements:044,1,234,0,0,211,23,0,0
sdnet_component_0098,test,Pavements:045,1,234,0,0,211,23,0,0
sdnet_component_0099,test,Pavements:046,1,234,0,0,221,13,0,0
sdnet_component_0100,train,Pavements:047,1,234,0,0,209,25,0,0
sdnet_component_0101,val,Pavements:048,1,234,0,0,211,23,0,0
sdnet_component_0102,train,Pavements:049,1,234,0,0,209,25,0,0
sdnet_component_0103,train,Pavements:050,1,234,0,0,211,23,0,0
sdnet_component_0104,train,Pavements:051,1,234,0,0,211,23,0,0
sdnet_component_0105,train,Pavements:052,1,234,0,0,218,16,0,0
sdnet_component_0106,train,Pavements:053,1,234,0,0,219,15,0,0
sdnet_component_0107,train,Pavements:054,1,234,0,0,216,18,0,0
sdnet_component_0108,train,Pavements:055,1,234,0,0,221,13,0,0
sdnet_component_0109,train,Pavements:056,1,234,0,0,207,27,0,0
sdnet_component_0110,test,Pavements:057,1,234,0,0,212,22,0,0
sdnet_component_0111,test,Pavements:058,1,234,0,0,207,27,0,0
sdnet_component_0112,train,Pavements:059,1,234,0,0,211,23,0,0
sdnet_component_0113,train,Pavements:060,1,234,0,0,221,13,0,0
sdnet_component_0114,train,Pavements:061,1,234,0,0,213,21,0,0
sdnet_component_0115,train,Pavements:062,1,234,0,0,204,30,0,0
sdnet_component_0116,train,Pavements:063,1,234,0,0,207,27,0,0
sdnet_component_0117,train,Pavements:064,1,234,0,0,226,8,0,0
sdnet_component_0118,val,Pavements:065,1,234,0,0,204,30,0,0
sdnet_component_0119,train,Pavements:066,1,234,0,0,213,21,0,0
sdnet_component_0120,test,Pavements:067,1,234,0,0,206,28,0,0
sdnet_component_0121,train,Pavements:068,1,234,0,0,210,24,0,0
sdnet_component_0122,train,Pavements:069,1,234,0,0,210,24,0,0
sdnet_component_0123,train,Pavements:070,1,234,0,0,212,22,0,0
sdnet_component_0124,train,Pavements:071,1,234,0,0,175,59,0,0
sdnet_component_0125,train,Pavements:072,1,234,0,0,179,55,0,0
sdnet_component_0126,train,Pavements:073,1,234,0,0,211,23,0,0
sdnet_component_0127,train,Pavements:074,1,234,0,0,212,22,0,0
sdnet_component_0128,val,Pavements:075,1,234,0,0,216,18,0,0
sdnet_component_0129,train,Pavements:076,1,234,0,0,198,36,0,0
sdnet_component_0130,train,Pavements:077,1,234,0,0,215,19,0,0
sdnet_component_0131,train,Pavements:078,1,234,0,0,212,22,0,0
sdnet_component_0132,train,Pavements:079,1,234,0,0,211,23,0,0
sdnet_component_0133,train,Pavements:080,1,234,0,0,218,16,0,0
sdnet_component_0134,train,Pavements:081,1,234,0,0,215,19,0,0
sdnet_component_0135,test,Pavements:082,1,234,0,0,210,24,0,0
sdnet_component_0136,train,Pavements:083,1,234,0,0,208,26,0,0
sdnet_component_0137,test,Pavements:084,1,234,0,0,206,28,0,0
sdnet_component_0138,val,Pavements:085,1,234,0,0,208,26,0,0
sdnet_component_0139,val,Pavements:086,1,234,0,0,206,28,0,0
sdnet_component_0140,test,Pavements:087,1,234,0,0,204,30,0,0
sdnet_component_0141,train,Pavements:088,1,234,0,0,206,28,0,0
sdnet_component_0142,test,Pavements:089,1,234,0,0,213,21,0,0
sdnet_component_0143,train,Pavements:090,1,234,0,0,208,26,0,0
sdnet_component_0144,train,Pavements:091,1,234,0,0,201,33,0,0
sdnet_component_0145,train,Pavements:092,1,234,0,0,199,35,0,0
sdnet_component_0146,train,Pavements:093,1,234,0,0,196,38,0,0
sdnet_component_0147,train,Pavements:094,1,234,0,0,193,41,0,0
sdnet_component_0148,train,Pavements:095,1,234,0,0,175,59,0,0
sdnet_component_0149,val,Pavements:096,1,234,0,0,205,29,0,0
sdnet_component_0150,train,Pavements:097,1,234,0,0,234,0,0,0
sdnet_component_0151,train,Pavements:098,1,234,0,0,211,23,0,0
sdnet_component_0152,val,Pavements:099,1,234,0,0,213,21,0,0
sdnet_component_0153,train,Pavements:100,1,234,0,0,186,48,0,0
sdnet_component_0154,train,Pavements:101,1,234,0,0,179,55,0,0
sdnet_component_0155,train,Pavements:102,1,234,0,0,209,25,0,0
sdnet_component_0156,train,Pavements:103,1,234,0,0,197,37,0,0
sdnet_component_0157,train,Pavements:104,1,234,0,0,211,23,0,0
sdnet_component_0158,train,Walls:7069,1,252,0,0,0,0,149,103
sdnet_component_0159,test,Walls:7070,1,252,0,0,0,0,176,76
sdnet_component_0160,val,Walls:7071,1,252,0,0,0,0,201,51
sdnet_component_0161,train,Walls:7072,1,252,0,0,0,0,177,75
sdnet_component_0162,train,Walls:7073,1,252,0,0,0,0,210,42
sdnet_component_0163,train,Walls:7074,1,251,0,0,0,0,186,65
sdnet_component_0164,train,Walls:7075,1,252,0,0,0,0,188,64
sdnet_component_0165,train,Walls:7076,1,252,0,0,0,0,200,52
sdnet_component_0166,train,Walls:7077,1,252,0,0,0,0,160,92
sdnet_component_0167,train,Walls:7078,1,252,0,0,0,0,157,95
sdnet_component_0168,train,Walls:7079,1,252,0,0,0,0,210,42
sdnet_component_0169,val,Walls:7080,1,252,0,0,0,0,211,41
sdnet_component_0170,test,Walls:7081,1,252,0,0,0,0,188,64
sdnet_component_0171,test,Walls:7082,1,252,0,0,0,0,216,36
sdnet_component_0172,test,Walls:7083,1,252,0,0,0,0,123,129
sdnet_component_0173,train,Walls:7084,1,252,0,0,0,0,127,125
sdnet_component_0174,train,Walls:7085,1,252,0,0,0,0,168,84
sdnet_component_0175,train,Walls:7086,1,252,0,0,0,0,100,152
sdnet_component_0176,train,Walls:7087,1,252,0,0,0,0,108,144
sdnet_component_0177,train,Walls:7088,1,252,0,0,0,0,135,117
sdnet_component_0178,train,Walls:7089,1,252,0,0,0,0,173,79
sdnet_component_0179,val,Walls:7090,1,252,0,0,0,0,129,123
sdnet_component_0180,train,Walls:7091,1,252,0,0,0,0,193,59
sdnet_component_0181,val,Walls:7092,1,252,0,0,0,0,133,119
sdnet_component_0182,train,Walls:7093,1,252,0,0,0,0,156,96
sdnet_component_0183,train,Walls:7094,1,252,0,0,0,0,227,25
sdnet_component_0184,train,Walls:7095,1,252,0,0,0,0,231,21
sdnet_component_0185,train,Walls:7096,1,252,0,0,0,0,228,24
sdnet_component_0186,train,Walls:7097,1,252,0,0,0,0,234,18
sdnet_component_0187,train,Walls:7098,1,252,0,0,0,0,230,22
sdnet_component_0188,test,Walls:7099,1,252,0,0,0,0,232,20
sdnet_component_0189,val,Walls:7100,1,252,0,0,0,0,220,32
sdnet_component_0190,val,Walls:7101,1,252,0,0,0,0,233,19
sdnet_component_0191,train,Walls:7102,1,252,0,0,0,0,225,27
sdnet_component_0192,train,Walls:7103,1,252,0,0,0,0,215,37
sdnet_component_0193,val,Walls:7104,1,252,0,0,0,0,227,25
sdnet_component_0194,train,Walls:7105,1,252,0,0,0,0,233,19
sdnet_component_0195,train,Walls:7106,1,252,0,0,0,0,230,22
sdnet_component_0196,train,Walls:7107,1,251,0,0,0,0,230,21
sdnet_component_0197,train,Walls:7108,1,252,0,0,0,0,232,20
sdnet_component_0198,val,Walls:7109,1,252,0,0,0,0,216,36
sdnet_component_0199,train,Walls:7110,1,252,0,0,0,0,226,26
sdnet_component_0200,test,Walls:7111,1,252,0,0,0,0,191,61
sdnet_component_0201,train,Walls:7112,1,252,0,0,0,0,211,41
sdnet_component_0202,train,Walls:7113,1,252,0,0,0,0,165,87
sdnet_component_0203,test,Walls:7114,1,252,0,0,0,0,210,42
sdnet_component_0204,train,Walls:7115,1,252,0,0,0,0,144,108
sdnet_component_0205,val,Walls:7116,1,252,0,0,0,0,218,34
sdnet_component_0206,train,Walls:7117,1,252,0,0,0,0,223,29
sdnet_component_0207,train,Walls:7118,1,252,0,0,0,0,197,55
sdnet_component_0208,test,Walls:7119,1,252,0,0,0,0,178,74
sdnet_component_0209,train,Walls:7120,1,252,0,0,0,0,213,39
sdnet_component_0210,train,Walls:7121,1,252,0,0,0,0,220,32
sdnet_component_0211,train,Walls:7122,1,252,0,0,0,0,168,84
sdnet_component_0212,train,Walls:7123,1,252,0,0,0,0,207,45
sdnet_component_0213,train,Walls:7124,1,252,0,0,0,0,161,91
sdnet_component_0214,test,Walls:7125,1,252,0,0,0,0,182,70
sdnet_component_0215,train,Walls:7126,1,252,0,0,0,0,177,75
sdnet_component_0216,train,Walls:7127,1,252,0,0,0,0,214,38
sdnet_component_0217,train,Walls:7128,1,252,0,0,0,0,233,19
sdnet_component_0218,train,Walls:7129,1,252,0,0,0,0,230,22
sdnet_component_0219,test,Walls:7130,1,252,0,0,0,0,232,20
sdnet_component_0220,train,Walls:7131,1,252,0,0,0,0,214,38
sdnet_component_0221,train,Walls:7132,1,252,0,0,0,0,232,20
sdnet_component_0222,val,Walls:7133,1,252,0,0,0,0,229,23
sdnet_component_0223,train,Walls:7134,1,252,0,0,0,0,235,17
sdnet_component_0224,train,Walls:7135,1,252,0,0,0,0,230,22
sdnet_component_0225,val,Walls:7136,1,252,0,0,0,0,228,24
sdnet_component_0226,train,Walls:7137,1,252,0,0,0,0,222,30
sdnet_component_0227,test,Walls:7138,1,252,0,0,0,0,228,24
sdnet_component_0228,train,Walls:7139,1,252,0,0,0,0,226,26
sdnet_component_0229,train,Walls:7140,1,246,0,0,0,0,225,21
