path,torque_cnm,label,label_name,source,split,use_binary
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-34_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-35_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,val,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-37_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,val,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-38_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,test,0
dataset/orion-ae-sensor-b-subset/salves_out_20cNm_B_Fs5MHz_Tf1s_2019-04-02-16-18-39_1.mat,20,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,test,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-42_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-43_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-44_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-45_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-46_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,train,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-47_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,val,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-48_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,val,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-50_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,test,0
dataset/orion-ae-sensor-b-subset/salves_out_30cNm_B_Fs5MHz_Tf1s_2019-04-02-16-15-51_1.mat,30,,moderate_torque_excluded_binary,orion_ae_sensor_b_proxy,test,0
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-24_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-25_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-26_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-27_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-28_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-29_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-30_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-31_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-32_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_40cNm_B_Fs5MHz_Tf1s_2019-04-02-16-14-34_1.mat,40,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-26_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-27_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-28_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-29_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-30_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-31_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-32_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-33_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-34_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_50cNm_B_Fs5MHz_Tf1s_2019-04-02-16-12-36_1.mat,50,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-09-57_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-09-58_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-09-59_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-00_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-01_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-02_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,train,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-03_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-04_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,val,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-05_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,test,1
dataset/orion-ae-sensor-b-subset/salves_out_60cNm_B_Fs5MHz_Tf1s_2019-04-02-16-10-06_1.mat,60,1,high_torque_proxy_abnormal,orion_ae_sensor_b_proxy,test,1
